"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"LOGO";1;"ABUNAI";;;
2;"BT1";"BatteryHolder_Keystone_1042_1x18650";1;"Battery";;;
3;"C1";"C_0805_2012Metric";1;"10uF";;;
4;"C2,C5";"C_0805_2012Metric";2;"0.1uF";;;
5;"C3";"C_0805_2012Metric";1;"2.2uF";;;
6;"C4";"C_0805_2012Metric";1;"100uF";;;
7;"D1,D2,D3";"LED_0805_2012Metric";3;"LED";;;
8;"H1";"Pin_D1.3mm_L11.3mm_W2.8mm_Flat";1;"510+";;;
9;"H2";"Pin_D1.3mm_L11.0mm";1;"510-";;;
10;"J1";"PinSocket_2x05_P2.54mm_Vertical";1;"LSAO";;;
11;"JP1";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"Jumper";;;
12;"L1";"L_Bourns_SRN6045TA";1;"6.8uH";;;
13;"Q1";"TO-263-3_TabPin2";1;"IRLS3034";;;
14;"R1";"R_0805_2012Metric";1;"330k";;;
15;"R2";"R_0805_2012Metric";1;"10k";;;
16;"R3,R4,R7";"R_0805_2012Metric";3;"470r";;;
17;"R5,R6";"R_0805_2012Metric";2;"0.01r";;;
18;"SW1";"SW_PUSH_6mm";1;"ManualFire";;;
19;"SW2";"SW_PUSH_6mm";1;"MCUFire";;;
20;"U1";"QFN-16-1EP_4x4mm_P0.65mm_EP2.5x2.5mm";1;"TPS61092";;;
21;"U2";"SOIC-16_3.9x9.9mm_P1.27mm";1;"74HCT595";;;
22;"U3";"MSOP-16_3x4mm_P0.5mm";1;"LTC2992";;;
23;"REF**";"OSHW-Logo2_7.3x6mm_SilkScreen";1;"OSHW-Logo2_7.3x6mm_SilkScreen";;;
24;"Danger!";"Symbol_Danger_CopperTop_Small";1;"Symbol_Danger_CopperTop_Small";;;
